"location","Stot_wo0_2011","Stot_wo0_2013","S_rare_2011","S_rare_2013","D_2011","D_2013","H_2011","H_2013","J_2011","J_2013","L_2011","L_2013"
"BMA",19,20,21.2373971193416,22.9030992798354,"62.17 $\pm$ 33.30","97.67 $\pm$ 73.05","1.87 $\pm$ 0.40","1.49 $\pm$ 0.58","0.84 $\pm$ 0.09","0.67 $\pm$ 0.22","0.81 $\pm$ 0.10","0.65 $\pm$ 0.23"
"SSI",20,28,21.291087962963,32.4040423525377,"116.83 $\pm$ 52.81","100.33 $\pm$ 53.43","1.77 $\pm$ 0.48","1.88 $\pm$ 0.34","0.73 $\pm$ 0.12","0.75 $\pm$ 0.15","0.73 $\pm$ 0.14","0.77 $\pm$ 0.11"
"SMI",19,22,22.4687285665295,24.1052597736626,"15.17 $\pm$ 8.61","57.83 $\pm$ 38.87","1.76 $\pm$ 0.38","1.83 $\pm$ 0.33","0.93 $\pm$ 0.04","0.77 $\pm$ 0.17","0.88 $\pm$ 0.04","0.76 $\pm$ 0.16"
"ITSP",19,16,21.2939386145405,18.6403249314129,"78.67 $\pm$ 22.50","119.50 $\pm$ 106.87","1.72 $\pm$ 0.29","0.92 $\pm$ 0.34","0.77 $\pm$ 0.09","0.50 $\pm$ 0.15","0.77 $\pm$ 0.08","0.44 $\pm$ 0.17"
"RET",19,22,22.9077074759945,24.4116298010974,"17.67 $\pm$ 13.82","72.67 $\pm$ 37.16","1.55 $\pm$ 0.32","1.50 $\pm$ 0.31","0.86 $\pm$ 0.10","0.63 $\pm$ 0.08","0.81 $\pm$ 0.11","0.65 $\pm$ 0.12"
"ERE",7,13,8.35661008230453,15.1460691015089,"24.00 $\pm$ 27.76","59.67 $\pm$ 85.18","0.50 $\pm$ 0.47","0.90 $\pm$ 0.99","0.64 $\pm$ 0.21","0.91 $\pm$ 0.02","0.29 $\pm$ 0.27","0.43 $\pm$ 0.47"
"ISME",14,18,15.7976680384088,20.8874099794239,"71.67 $\pm$ 28.70","144.00 $\pm$ 69.09","1.42 $\pm$ 0.53","1.10 $\pm$ 0.32","0.74 $\pm$ 0.18","0.53 $\pm$ 0.18","0.66 $\pm$ 0.20","0.52 $\pm$ 0.17"
"ERO",20,13,22.1515989368999,15.72,"45.50 $\pm$ 25.44","24.20 $\pm$ 29.18","1.90 $\pm$ 0.56","0.92 $\pm$ 0.67","0.89 $\pm$ 0.07","0.70 $\pm$ 0.27","0.83 $\pm$ 0.12","0.61 $\pm$ 0.26"
"ASA",11,17,13.1141975308642,19.2319315843621,"28.33 $\pm$ 21.27","160.67 $\pm$ 232.82","1.05 $\pm$ 0.42","1.07 $\pm$ 0.64","0.78 $\pm$ 0.13","0.59 $\pm$ 0.33","0.61 $\pm$ 0.16","0.57 $\pm$ 0.33"
