"Species","ASA-2011","ASA-2013","BMA-2011","BMA-2013","CKE-2011","CLO-2011","COL-2011","ERE-2011","ERE-2013","ERO-2011","ERO-2013","ICO-2013","ISJE-2013","ISJP-2013","ISME-2011","ISME-2013","ISMP-2013","ITSE-2013","ITSP-2011","ITSP-2013","PCH-2011","RET-2011","RET-2013","SMI-2011","SMI-2013","SSI-2011","SSI-2013","STO-2011","VTR-2011"
"Gibbonsia elegans","","","","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41","","","","","","","","","",""
"Girella nigricans","","0.17 $\pm$ 0.41","3.00 $\pm$ 7.35","0.33 $\pm$ 0.82","","","","","","","","","2.00 $\pm$ 4.90","0.17 $\pm$ 0.41","1.33 $\pm$ 1.51","1.50 $\pm$ 2.07","0.67 $\pm$ 0.82","","","0.50 $\pm$ 1.22","","","","","0.17 $\pm$ 0.41","0.67 $\pm$ 1.63","3.50 $\pm$ 4.97","",""
"Halichoeres semicinctus","","0.17 $\pm$ 0.41","","","","","","","","","","0.40 $\pm$ 0.89","0.17 $\pm$ 0.41","4.67 $\pm$ 4.37","","","","","","0.17 $\pm$ 0.41","","","","","","","","",""
"Hermosilla azurea","","","","","","","","","","","","","","","","","","","","","","","","","","4.00 $\pm$ 5.62","","",""
"Heterostichus rostratus","","","","","0.11 $\pm$ 0.33","","","","","","","","","","","","","","","","","","","","","","","",""
"Hyperprosopon anale","","","","","","","","","","2.67 $\pm$ 4.32","","","","","","","","","","","","0.17 $\pm$ 0.41","","","","","","",""
"Hypsoblennius gilberti","","","","","","","","","","","","","","","","","","","","","","","0.33 $\pm$ 0.82","","","","","",""
"Hypsurus caryi","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","3.00 $\pm$ 3.35","","3.60 $\pm$ 4.77","","","0.50 $\pm$ 0.84","1.50 $\pm$ 3.67","0.40 $\pm$ 0.89","36.60 $\pm$ 80.17","","","","","","2.00 $\pm$ 2.28","3.00 $\pm$ 5.06","1.17 $\pm$ 1.94","","","1.67 $\pm$ 1.03","0.17 $\pm$ 0.41","5.00 $\pm$ 3.69","","0.17 $\pm$ 0.41","1.00 $\pm$ 2.00",""
"Hypsypops rubicundus","","2.33 $\pm$ 1.97","3.50 $\pm$ 4.93","1.00 $\pm$ 2.00","0.44 $\pm$ 0.88","0.60 $\pm$ 0.89","","","0.17 $\pm$ 0.41","","0.20 $\pm$ 0.45","","0.67 $\pm$ 0.52","3.50 $\pm$ 4.72","3.83 $\pm$ 3.43","3.00 $\pm$ 3.10","1.50 $\pm$ 1.52","3.33 $\pm$ 3.98","1.00 $\pm$ 0.89","1.67 $\pm$ 4.08","","0.33 $\pm$ 0.82","1.17 $\pm$ 1.17","0.83 $\pm$ 1.33","3.50 $\pm$ 3.62","5.17 $\pm$ 7.19","4.67 $\pm$ 0.52","",""
"Medialuna californiensis","","","","0.83 $\pm$ 2.04","","3.60 $\pm$ 5.68","","","","","","","0.17 $\pm$ 0.41","0.17 $\pm$ 0.41","1.83 $\pm$ 1.60","0.17 $\pm$ 0.41","0.50 $\pm$ 0.84","","0.17 $\pm$ 0.41","","","","","","0.67 $\pm$ 1.63","","0.50 $\pm$ 0.84","",""
"Micrometrus minimus","","","","","0.33 $\pm$ 0.71","","","","","","","","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41",""
"Ophiodon elongatus","","","","0.17 $\pm$ 0.41","","","","","","","","","","","","","","0.17 $\pm$ 0.41","","","","","0.17 $\pm$ 0.41","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","0.33 $\pm$ 0.82","",""
"Oxyjulis californica","13.50 $\pm$ 13.91","34.00 $\pm$ 49.13","6.17 $\pm$ 4.83","52.83 $\pm$ 75.92","11.56 $\pm$ 8.75","12.80 $\pm$ 13.72","","4.67 $\pm$ 2.94","49.17 $\pm$ 91.29","5.33 $\pm$ 5.65","4.40 $\pm$ 5.22","64.40 $\pm$ 47.97","50.33 $\pm$ 81.75","35.33 $\pm$ 39.66","37.33 $\pm$ 32.96","79.50 $\pm$ 77.32","14.67 $\pm$ 12.06","8.00 $\pm$ 4.86","27.00 $\pm$ 11.31","82.83 $\pm$ 63.11","","0.50 $\pm$ 1.22","33.50 $\pm$ 13.44","0.67 $\pm$ 1.03","5.50 $\pm$ 4.51","16.33 $\pm$ 18.18","34.17 $\pm$ 40.05","9.00 $\pm$ 11.14",""
"Oxylebius pictus","1.50 $\pm$ 2.35","","1.50 $\pm$ 1.64","1.50 $\pm$ 1.97","0.22 $\pm$ 0.44","0.60 $\pm$ 1.34","","","","0.33 $\pm$ 0.82","0.20 $\pm$ 0.45","1.60 $\pm$ 1.14","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","1.00 $\pm$ 0.89","0.17 $\pm$ 0.41","3.00 $\pm$ 0.63","2.17 $\pm$ 1.83","0.33 $\pm$ 0.82","","1.17 $\pm$ 1.60","1.17 $\pm$ 1.17","0.67 $\pm$ 0.82","2.33 $\pm$ 1.21","1.17 $\pm$ 1.33","2.00 $\pm$ 1.10","0.50 $\pm$ 0.84",""
"Paralabrax clathratus","2.67 $\pm$ 2.94","2.50 $\pm$ 2.35","3.00 $\pm$ 3.16","0.50 $\pm$ 1.22","1.00 $\pm$ 0.71","3.20 $\pm$ 1.48","","0.33 $\pm$ 0.82","2.83 $\pm$ 3.71","2.33 $\pm$ 1.63","1.80 $\pm$ 0.84","2.00 $\pm$ 2.45","0.67 $\pm$ 1.21","4.33 $\pm$ 2.25","7.17 $\pm$ 5.71","4.83 $\pm$ 3.49","2.17 $\pm$ 1.72","0.67 $\pm$ 0.82","2.17 $\pm$ 2.32","1.83 $\pm$ 2.99","","0.50 $\pm$ 0.55","1.83 $\pm$ 2.56","0.50 $\pm$ 0.84","1.00 $\pm$ 0.89","4.83 $\pm$ 6.11","2.83 $\pm$ 1.72","0.67 $\pm$ 1.03","2.67 $\pm$ 0.58"
"Paralabrax nebulifer","","","3.17 $\pm$ 4.31","0.50 $\pm$ 0.84","","","","","","0.50 $\pm$ 0.84","","","","","","","","","","","","","","0.33 $\pm$ 0.52","1.00 $\pm$ 2.00","","1.00 $\pm$ 1.26","",""
"Phanerodon atripes","","","","","","","","1.17 $\pm$ 2.86","","","","","","","","","","","","","","","","","","","","",""
"Phanerodon furcatus","","","","","","1.40 $\pm$ 2.19","","","1.17 $\pm$ 1.83","","","","","","","","","","","","0.33 $\pm$ 0.58","","","","","","","",""
"Rathbunella hypoplecta","","","","","","","","","","","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41",""
"Rhacochilus toxotes","","","","0.17 $\pm$ 0.41","0.22 $\pm$ 0.44","","","","0.67 $\pm$ 1.63","0.50 $\pm$ 1.22","","","1.17 $\pm$ 1.17","1.17 $\pm$ 2.86","0.67 $\pm$ 1.03","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","0.17 $\pm$ 0.41","","0.83 $\pm$ 0.98","","0.17 $\pm$ 0.41","",""
"Rhacochilus vacca","","0.33 $\pm$ 0.82","0.50 $\pm$ 0.55","2.00 $\pm$ 2.53","0.11 $\pm$ 0.33","1.00 $\pm$ 1.73","","0.67 $\pm$ 1.63","0.83 $\pm$ 1.33","4.33 $\pm$ 3.50","1.40 $\pm$ 1.52","34.00 $\pm$ 65.42","0.17 $\pm$ 0.41","6.00 $\pm$ 10.41","1.50 $\pm$ 1.97","0.17 $\pm$ 0.41","2.00 $\pm$ 1.41","2.00 $\pm$ 3.16","0.17 $\pm$ 0.41","0.50 $\pm$ 0.84","0.33 $\pm$ 0.58","0.17 $\pm$ 0.41","0.33 $\pm$ 0.52","0.17 $\pm$ 0.41","16.00 $\pm$ 32.45","2.67 $\pm$ 1.51","3.33 $\pm$ 3.14","2.17 $\pm$ 5.31",""
"Rhinogobiops nicholsii","","0.17 $\pm$ 0.41","0.33 $\pm$ 0.82","3.67 $\pm$ 3.14","1.56 $\pm$ 2.01","0.80 $\pm$ 1.10","0.33 $\pm$ 0.58","","","","","0.20 $\pm$ 0.45","0.33 $\pm$ 0.82","0.83 $\pm$ 1.17","","0.33 $\pm$ 0.52","0.67 $\pm$ 1.21","3.33 $\pm$ 1.63","4.33 $\pm$ 3.27","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","0.33 $\pm$ 0.52","","0.83 $\pm$ 1.17","4.33 $\pm$ 2.25","2.33 $\pm$ 1.37","0.50 $\pm$ 0.84",""
"Scorpaena guttata","","","0.17 $\pm$ 0.41","","","","","","","","","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41","",""
"Scorpaenichthys marmoratus","","","0.17 $\pm$ 0.41","","","","","","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41","","","","",""
"Sebastes atrovirens","0.17 $\pm$ 0.41","0.33 $\pm$ 0.82","3.33 $\pm$ 3.44","4.00 $\pm$ 3.52","0.67 $\pm$ 1.12","1.20 $\pm$ 1.79","","","0.50 $\pm$ 0.84","4.00 $\pm$ 4.43","0.60 $\pm$ 0.89","1.80 $\pm$ 2.05","0.83 $\pm$ 1.60","","","0.17 $\pm$ 0.41","4.00 $\pm$ 2.28","1.83 $\pm$ 1.17","1.33 $\pm$ 2.16","5.00 $\pm$ 7.97","2.67 $\pm$ 2.52","0.83 $\pm$ 1.17","2.00 $\pm$ 2.28","","0.83 $\pm$ 0.98","4.00 $\pm$ 3.03","5.83 $\pm$ 3.66","2.50 $\pm$ 1.64",""
